epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
140,615.74,1.62547,1.01508,0.94809,0.69825,0.7475,0.70529,0.35329,1.74226,1.05143,0.96065,0.00220372,0.00220372,0.00220372
141,620.151,1.60863,1.00331,0.93236,0.65962,0.7595,0.7179,0.37036,1.76843,1.05733,0.96798,0.00214046,0.00214046,0.00214046
142,624.592,1.63014,1.02925,0.94523,0.55329,0.72125,0.67758,0.33669,1.80901,1.10046,0.97764,0.00207792,0.00207792,0.00207792
143,628.967,1.63142,1.03328,0.9488,0.58229,0.72264,0.67071,0.35389,1.78078,1.0614,0.97389,0.00201611,0.00201611,0.00201611
144,633.355,1.6348,1.0224,0.94969,0.64436,0.69064,0.67439,0.34182,1.8284,1.05705,0.97654,0.00195505,0.00195505,0.00195505
145,637.754,1.64008,1.00682,0.94545,0.68449,0.68298,0.69594,0.3691,1.81406,1.08709,0.9694,0.00189475,0.00189475,0.00189475
146,642.149,1.60793,0.98769,0.93126,0.69154,0.68906,0.7037,0.35563,1.77989,1.10988,0.96505,0.00183523,0.00183523,0.00183523
147,646.449,1.60467,1.00272,0.9394,0.69321,0.75531,0.72233,0.33984,1.85461,1.09769,0.97763,0.00177651,0.00177651,0.00177651
148,650.816,1.62504,1.0014,0.94307,0.61787,0.70481,0.69458,0.37476,1.78808,1.06721,0.96582,0.00171859,0.00171859,0.00171859
149,655.187,1.60458,1.00488,0.94239,0.54844,0.71148,0.68058,0.36497,1.78415,1.05081,0.96618,0.00166149,0.00166149,0.00166149
150,659.591,1.61621,0.99868,0.94558,0.55835,0.79852,0.67328,0.35003,1.75174,1.04206,0.96489,0.00160523,0.00160523,0.00160523
151,664.095,1.59662,1.00237,0.9386,0.51825,0.78764,0.66187,0.3519,1.76393,1.04803,0.96833,0.00154982,0.00154982,0.00154982
152,668.456,1.5919,1.00133,0.93983,0.55777,0.7976,0.71957,0.37101,1.77317,1.04144,0.96957,0.00149527,0.00149527,0.00149527
153,672.893,1.63465,1.01719,0.94193,0.6523,0.77931,0.71522,0.35641,1.79376,1.06578,0.96911,0.00144161,0.00144161,0.00144161
154,677.248,1.61967,0.99978,0.94297,0.7093,0.78365,0.73298,0.37797,1.76021,1.0586,0.96834,0.00138883,0.00138883,0.00138883
155,681.58,1.63223,1.01782,0.94942,0.76628,0.74934,0.73888,0.3853,1.79748,1.04719,0.97295,0.00133695,0.00133695,0.00133695
156,685.881,1.64456,1.00977,0.94412,0.75698,0.75633,0.73204,0.38206,1.79541,1.04863,0.97313,0.00128599,0.00128599,0.00128599
157,690.191,1.61868,1.00262,0.94259,0.7053,0.66259,0.70026,0.36109,1.76516,1.04622,0.96899,0.00123596,0.00123596,0.00123596
158,694.631,1.59618,0.98303,0.93338,0.6676,0.69128,0.69051,0.35467,1.74774,1.05973,0.96422,0.00118687,0.00118687,0.00118687
159,698.922,1.56749,0.9652,0.93919,0.6462,0.69856,0.69455,0.37686,1.7387,1.04314,0.9652,0.00113873,0.00113873,0.00113873
160,703.286,1.61438,0.98661,0.93162,0.57804,0.75975,0.69253,0.37558,1.7543,1.04492,0.96937,0.00109156,0.00109156,0.00109156
161,707.611,1.58573,0.95693,0.93793,0.73115,0.64457,0.68708,0.35929,1.78158,1.04958,0.97831,0.00104537,0.00104537,0.00104537
162,711.946,1.59984,0.97726,0.93278,0.70609,0.67175,0.69754,0.3571,1.78167,1.05909,0.97385,0.00100016,0.00100016,0.00100016
163,716.237,1.55042,0.94947,0.93384,0.69931,0.76494,0.7142,0.36153,1.79277,1.07212,0.97308,0.000955951,0.000955951,0.000955951
164,720.694,1.58659,0.9821,0.93897,0.71258,0.76134,0.71752,0.37006,1.75741,1.04745,0.96773,0.000912754,0.000912754,0.000912754
165,725.043,1.58206,0.98917,0.93821,0.74082,0.77044,0.72786,0.38563,1.73777,1.02383,0.96445,0.000870577,0.000870577,0.000870577
166,729.355,1.57127,0.9643,0.92777,0.7468,0.75563,0.73005,0.39494,1.7316,1.03214,0.96353,0.000829431,0.000829431,0.000829431
167,733.679,1.57192,0.94762,0.92455,0.73398,0.75297,0.72699,0.38767,1.73841,1.04551,0.96411,0.000789327,0.000789327,0.000789327
168,738.034,1.57036,0.94586,0.93135,0.71332,0.75991,0.73046,0.39301,1.73437,1.05077,0.96273,0.000750274,0.000750274,0.000750274
